	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
G:FW P:NNC egoist 1929 24 		Context - ng|CCB ibang|PRI_CCP *egoist|NNC* .|PMP 
G:FW P:NNC egoist 2386 4 		Context - rason|NNC para_sa|RBB *egoist|NNC* na|CCP maging|VBW 
G:FW P:NNC ellipsis 2357 2 		Context - Ipinapahiwatig|VBTR ng_mga|DTCP *ellipsis|NNC* (|PMS tatlong|JJN_CCP 
G:FW P:NNC emergency 182 7 		Context - bilang|CCT isang|JJN_CCP *emergency|NNC* diversion|FW airport|FW 
G:FW P:NNC empire 2893 14 		Context - ng|CCB kolonyal|NNC *empire|NNC* o|CCT ang|DTC 
G:FW P:NNC en 472 12 		Context - ang|DTC radyo|NNC *en|NNC* Dar_es_Salaam|NNP sa|CCT 
G:FW P:NNC envoy 1927 10 		Context - Bismarck|NNP bilang|CCT *envoy|NNC* ng|CCB Prussia|NNP 
G:FW P:NNC esparto 248 10 		Context - dates|FW ,|PMC *esparto|NNC* grass|FW at|CCA 
G:FW P:NNC essay 1117 21 		Context - sa|CCT kanyang|PRSP_CCP *essay|NNC* na|CCP "|PMS 
G:FW P:NNC esse 1779 19 		Context - Latin|NNP ay|LM *esse|NNC* .|PMP 
G:FW P:NNC est- 2785 37 		Context - nagsisimula|VBTR sa|CCT *est-|NNC* ,|PMC ang|DTC 
G:FW P:NNC establishment 1386 22 		Context - sa|CCT mga|DTCP *establishment|NNC* sa|CCT kahabaan|NNC 
G:FW P:NNC estar 2259 5 		Context - nagmula|VBTS sa|CCT *estar|NNC* ng|CCB Espanyol|NNP 
G:FW P:NNC estare 2259 19 		Context - galing_sa|RBL *|PMS *estare|NNC* )|PMS ,|PMC 
G:FW P:NNC ester 2259 11 		Context - Portugese|NNP at|CCA *ester|NNC* ng|CCB makalumang|JJD_CCP 
G:FW P:NNC ester 2785 11 		Context - pandiwa|NNC ,|PMC *ester|NNC* at|CCA ester|NNC 
G:FW P:NNC ester 2785 13 		Context - ester|NNC at|CCA *ester|NNC* ,|PMC ay|LM 
G:FW P:NNC ethicists 466 5 		Context - at|CCA mga|DTCP *ethicists|NNC* tungkol_sa|RBR mga|DTCP 
G:FW P:NNC extension 1582 25 		Context - isang|PRI_CCP graphical|FW *extension|NNC* para_sa|RBB kanyang|PRSP_CCP 
G:FW P:NNC fees 445 12 		Context - sa|CCT transit|NNC *fees|NNC* ang|DTC Suez|NNP 
G:FW P:NNC ferns 1068 18 		Context - conifers|NNC ,|PMC *ferns|NNC* at|CCA cycads|NNC 
G:FW P:NNC fertility 277 6 		Context - sa|CCT pinakamababang|JJCS_JJD_CCP *fertility|NNC* rate|NNC sa|CCT 
G:FW P:NNC fetus 1630 22 		Context - impeksyon|NNC sa|CCT *fetus|NNC* at|CCA komplikasyon|NNC 
G:FW P:NNC fiber 1485 33 		Context - pagkain|NNC at|CCA *fiber|NNC* ,|PMC pag-unlad|NNC 
G:FW P:NNC fiber 342 19 		Context - o|CCT bulkanisadong|JJD_CCP *fiber|NNC* .|PMP 
G:FW P:NNC fibrin 876 21 		Context - pigilan|VBOF ang|DTC *fibrin|NNC* bituin|NNC na|CCP 
G:FW P:NNC field 2698 59 		Context - sa|CCT mga|DTCP *field|NNC* na|CCP iba|PRI 
G:FW P:NNC files 1537 22 		Context - sa|CCT mga|DTCP *files|NNC* .|PMP 
G:FW P:NNC filetrs 1218 28 		Context - na|CCP may|VBH *filetrs|NNC* .|PMP 
G:FW P:NNC film 2337 10 		Context - Rosenthal|NNP ang|DTC *film|NNC* sa|CCT Guam|NNP 
G:FW P:NNC final 2713 21 		Context - kwalipikasyon|NNC para_sa|RBB *final|NNC* ay|LM kasali|NNC 
G:FW P:NNC finals 2176 6 		Context - may|VBH pambansang|JJD_CCP *finals|NNC* ay|LM malaki|JJD 
G:FW P:NNC financing 2326 19 		Context - pinagkukunan|VBTR_VBRF ng|CCB *financing|NNC* para_sa|RBB pagpapatupad|NNC 
G:FW P:NNC fixed 2734 23 		Context - gumagamit|VBTR_VBAF ng|CCB *fixed|NNC* number|NNC ng|CCB 
G:FW P:NNC floppy 1985 16 		Context - 1541|CDB na|CCP *floppy|NNC* disk|NNC drive|NNC 
G:FW P:NNC folk 370 38 		Context - na|CCP ‘|NNC *folk|NNC* styles|FW ’|FW 
G:FW P:NNC football 721 17 		Context - pang|RBI_CCP Tanzanian|NNP *football|NNC* clubs|NNC ,|PMC 
G:FW P:NNC forfeda 1771 2 		Context - Ang|DTC limang|JJN_CCP *forfeda|NNC* ay|LM kilala|JJD 
G:FW P:NNC formula 1087 11 		Context - sa|CCT parehong|JJC_CCP *formula|NNC* para_sa|RBB FT|NNPA 
G:FW P:NNC fovea 519 7 		Context - maliit|JJD na|CCP *fovea|NNC* ,|PMC para_sa|RBB 
G:FW P:NNC fraternal 1167 13 		Context - ,|PMC isang|PRI_CCP *fraternal|NNC* na|CCP organisasyon|NNC 
G:FW P:NNC frontness 2388 12 		Context - kaysa|JJC ‘|NNC *frontness|NNC* ’|NNC ,|PMC 
G:FW P:NNC function 512 11 		Context - ellipsoid|FW bilang|CCT *function|NNC* ng|CCB distansiya|NNC 
G:FW P:NNC galaxy 1919 7 		Context - mga|DTCP malalayong|JJD_CCP *galaxy|NNC* ay|LM lubhang|JJCS_CCP 
G:FW P:NNC galaxy 2100 15 		Context - regular|JJD na|CCP *galaxy|NNC* .|PMP 
G:FW P:NNC galaxy 2401 17 		Context - sa_gitna|RBL ng|CCB *galaxy|NNC* .|PMP 
G:FW P:NNC gallery 2724 34 		Context - March|NNP ang|DTC *gallery|NNC* ng|CCB isa|PRI 
G:FW P:NNC gametes 572 13 		Context - uri|NNC ng|CCB *gametes|NNC* (|PMS nakasaad|VBTS 
G:FW P:NNC gang 2217 16 		Context - dahil_sa|RBP mga|DTCP *gang|NNC* ,|PMC droga|NNC 
G:FW P:NNC gaps 2518 19 		Context - pinakakilalang|JJCS_JJD_CCP mga|DTCP *gaps|NNC* sa|CCT Kirkwood|NNP 
G:FW P:NNC gas 539 12 		Context - ,|PMC natural|JJD *gas|NNC* at|CCA karbon|NNC 
G:FW P:NNC gases 2238 36 		Context - mabibigat|JJD na|CCP *gases|NNC* .|PMP 
G:FW P:NNC gay 36 13 		Context - ang|DTC lantarang|RBD_CCP *gay|NNC* na|CCP silent|FW 
G:FW P:NNC genders 2167 5 		Context - ang|DTC 3|CDB *genders|NNC* ng|CCB Astur-Leonese|NNP 
G:FW P:NNC gene 430 5 		Context - 225|CDB na|CCP *gene|NNC* ang|DTC kinilala|VBTS 
G:FW P:NNC gene 514 24 		Context - na|CCP mga|DTCP *gene|NNC* marker|NNC .|PMP 
G:FW P:NNC ghee 1947 7 		Context - lasa|NNC ang|DTC *ghee|NNC* ,|PMC at|CCA 
G:FW P:NNC glacis 2366 1 		Context - Sa|CCT *glacis|NNC* plate|NNC at|CCA 
G:FW P:NNC globular 1737 12 		Context - bituin|NNC sa|CCT *globular|NNC* ay|LM makaengkwentro|VBW 
G:FW P:NNC gluten 1874 7 		Context - sa|CCT protina|NNC *gluten|NNC* ng|CCB trigo|NNC 
G:FW P:NNC grain 1345 2 		Context - May|VBH 290|CDB *grain|NNC* H2O|NNPA cartridge|FW 
G:FW P:NNC hanja 2739 4 		Context - ,|PMC ang|DTC *hanja|NNC* ay|LM naging|VBTS 
G:FW P:NNC hardware 2464 2 		Context - Ang|DTC DTV|NNPA *hardware|NNC* ay|LM ginagamit|VBTR 
G:FW P:NNC hills 1304 4 		Context - itong|PRO_CCP rolling|JJD_CCP *hills|NNC* at|CCA mga|DTCP 
G:FW P:NNC honor 595 17 		Context - ang|DTC unang|JJN_CCP *honor|NNC* code|FW na|CCP 
G:FW P:NNC horror 2159 11 		Context - lugar|NNC ng|CCB *horror|NNC* ,|PMC sobrang|JJCS_CCP 
G:FW P:NNC host 2234 10 		Context - para_sa|RBB mga|DTCP *host|NNC* na|CCP bansang|NNC_CCP 
G:FW P:NNC host 2392 9 		Context - ,|PMC ang|DTC *host|NNC* ng|CCB lahat|PRI 
G:FW P:NNC house 1251 6 		Context - pinakaunang|JJCS_JJD_CCP printing|NNC *house|NNC* (|PMS "|PMS 
G:FW P:NNC hybridization 132 11 		Context - experimento|NNC ukol_sa|RBR *hybridization|NNC* ng_mga|DTCP halaman|NNC 
G:FW P:NNC hydrides 2521 1 		Context - Para_sa|RBB *hydrides|NNC* maliban|CCT sa|CCT 
G:FW P:NNC hypotheses 1750 17 		Context - empirikal|JJD na|CCP *hypotheses|NNC* ,|PMC proposisyon|NNC 
G:FW P:NNC inflorescence 2820 10 		Context - ,|PMC isang|PRI_CCP *inflorescence|NNC* sa|CCT lalaking|NNC_CCP 
G:FW P:NNC input 2125 21 		Context - batayan|NNC ng|CCB *input|NNC* ng|CCB Estados|NNP 
G:FW P:NNC intensive 2553 10 		Context - mas|JJCC labor|NNC *intensive|NNC* at|CCA mas|JJCC 
G:FW P:NNC intercepts 620 6 		Context - sa_pamamagitan_ng|CCT signal|NNC *intercepts|NNC* na|CCP may|VBH 
G:FW P:NNC interrelationships 1178 29 		Context - sa|CCT mga|DTCP *interrelationships|NNC* sa_pagitan|RBL ng_mga|DTCP 
G:FW P:NNC interval 560 18 		Context - ordinal|JJD ,|PMC *interval|NNC* at|CCA ratio|NNC 
G:FW P:NNC interviewer 2875 14 		Context - sa|CCT isang|PRI_CCP *interviewer|NNC* ,|PMC “|NNCA 
G:FW P:NNC iridium 2188 11 		Context - antas|NNC ng|CCB *iridium|NNC* ,|PMC na|CCP 
G:FW P:NNC isyu 624 27 		Context - ng|CCB lathalang|NNC_CCP *isyu|NNC* ;|PMSC hawak|NNC 
G:FW P:NNC jihad 2208 44 		Context - doctrina|NNC sa|CCT *jihad|NNC* -|PMS sandatahang|JJD_CCP 
G:FW P:NNC kabwit 2466 9 		Context - na|CCP lapo|NNC *kabwit|NNC* ,|PMC ang_mga|DTCP 
G:FW P:NNC kanji 3026 11 		Context - sa|CCT 6000|CDB *kanji|NNC* ,|PMC ay|LM 
G:FW P:NNC katydid 404 5 		Context - ,|PMC tulad_ng|JJC *katydid|NNC* ,|PMC dinadala|VBTR 
G:FW P:NNC kotiseutuoikeus 771 8 		Context - domicile|FW (|PMS *kotiseutuoikeus|NNC* /|PMS hembygdsrätt|NNP 
G:FW P:NNC labor 1336 24 		Context - %|PMS ng|CCB *labor|NNC* force|FW .|PMP 
G:FW P:NNC labor 2080 15 		Context - kauna-unahang|JJD_CCP European|NNP *labor|NNC* laws|NNC .|PMP 
G:FW P:NNC labor 2553 9 		Context - ng|CCB mas|JJCC *labor|NNC* intensive|NNC at|CCA 
G:FW P:NNC laboratory 1435 9 		Context - mas|JJCC magandang|JJD_CCP *laboratory|NNC* access|NNC .|PMP 
G:FW P:NNC laboratory 1438 10 		Context - sa_loob_ng|CCU pathology|NNC *laboratory|NNC* kung|RBK saan|RBQ 
G:FW P:NNC lackeys 2277 34 		Context - pinaghihinalaang|VBTR_VBRF bilang|CCT *lackeys|NNC* sa|CCT hukuman|NNC 
G:FW P:NNC lampblack 345 11 		Context - hinalo|VBTS_VBOF sa|CCT *lampblack|NNC* )|PMS o|CCT 
G:FW P:NNC lands 1335 19 		Context - may|VBH 8|CDB *lands|NNC* at|CCA grooves|FW 
G:FW P:NNC lanolin 540 17 		Context - na|RBI sa|CCT *lanolin|NNC* o|CCT beeswax|FW 
G:FW P:NNC lanolin 722 10 		Context - naphtha|FW ,|PMC *lanolin|NNC* ,|PMC turpentine|FW 
G:FW P:NNC lapo 2466 8 		Context - tawag|NNC na|CCP *lapo|NNC* kabwit|NNC ,|PMC 
G:FW P:NNC laws 2080 16 		Context - European|NNP labor|NNC *laws|NNC* .|PMP 
G:FW P:NNC libraries 740 32 		Context - utilities|NNC at|CCA *libraries|NNC* �?|PMS )|PMS 
G:FW P:NNC library 434 31 		Context - ang|DTC C|NNPA *library|NNC* sa|CCT Unix|NNP 
G:FW P:NNC line 395 13 		Context - ng|CCB DEW|NNPA *line|NNC* (|PMS Distant|NNP 
G:FW P:NNC loop 953 5 		Context - balsa|NNC wood|NNC *loop|NNC* na|CCP may|VBH 
G:FW P:NNC magnitudes 1718 3 		Context - maliwanag|JJD na|CCP *magnitudes|NNC* ng|CCB karamihan|PRI 
G:FW P:NNC majority 2598 14 		Context - kanyang|PRSP_CCP parliamentary|NNC *majority|NNC* ,|PMC at|CCA 
G:FW P:NNC margin 2289 11 		Context - koalisyon|NNC sa_pamamagitan_ng|CCT *margin|NNC* na|CCP mas|JJCC 
G:FW P:NNC marker 514 25 		Context - mga|DTCP gene|NNC *marker|NNC* .|PMP 
G:FW P:NNC mayor 2931 21 		Context - ,|PMC o|CCT *mayor|NNC* na|CCP sistema|NNC 
G:FW P:NNC mayor-council 2931 16 		Context - nakakaboto|VBTR ng|CCB *mayor-council|NNC* ,|PMC council-manager­|FW 
G:FW P:NNC memoirs 2044 12 		Context - kanyang|PRSP_CCP mga|DTCP *memoirs|NNC* na|CCP naisulat|VBTS 
G:FW P:NNC memorandum 3025 20 		Context - nagbigay|VBTS ng|CCB *memorandum|NNC* na|CCP nagrerekomenda|VBTS 
G:FW P:NNC meniscus 2831 10 		Context - pagbuo|NNC ng|CCB *meniscus|NNC* .|PMP 
G:FW P:NNC merger 2990 2 		Context - Karaniwan|RBW ang_mga|DTCP *merger|NNC* ng_mga|DTCP kalawakan|NNC 
G:FW P:NNC metals 1783 32 		Context - paghalo|NNC ng|CCB *metals|NNC* sa|CCT mga|DTCP 
G:FW P:NNC meters 1719 25 		Context - forty-five|FW square|NNC *meters|NNC* (|PMS 485|CDB 
G:FW P:NNC meters 1719 41 		Context - seventy|NNC square|NNC *meters|NNC* (|PMS 753|CDB 
G:FW P:NNC meters 1719 9 		Context - thirty|NNC square|NNC *meters|NNC* (|PMS 323|CDB 
G:FW P:NNC metro 2326 23 		Context - pagpapatupad|NNC ng|CCB *metro|NNC* (|PMS subway|FW 
G:FW P:NNC military 2208 20 		Context - pagkatalo|NNC ng|CCB *military|NNC* sa|CCT Tours|NNP 
G:FW P:NNC military 2209 9 		Context - estratehiya|NNC ng|CCB *military|NNC* sa|CCT buong|PRI_CCP 
G:FW P:NNC military 2224 35 		Context - ay|LM mga|DTCP *military|NNC* at|CCA ang|DTC 
G:FW P:NNC modelo 1110 5 		Context - sa|CCT corporate|FW *modelo|NNC* ang|DTC open|FW 
G:FW P:NNC moderator 2099 14 		Context - bilang|CCT ng|CCB *moderator|NNC* upang|CCB pabagalin|VBOF 
G:FW P:NNC molotov 522 11 		Context - napalm|VBTS at|CCA *molotov|NNC* cocktail|NNC ,|PMC 
G:FW P:NNC mongoose 579 20 		Context - daga|NNC at|CCA *mongoose|NNC* ,|PMC pagbawas|NNC 
G:FW P:NNC monsoon 1191 3 		Context - Bengal|NNP Bay|NNP *monsoon|NNC* at|CCA gumagalaw|VBTR_VBAF 
G:FW P:NNC monsoon 1575 40 		Context - North|NNP Vietnamese|NNP *monsoon|NNC* .|PMP 
G:FW P:NNC monsoon 478 12 		Context - warsha|NNC (|PMS *monsoon|NNC* )|PMS ,|PMC 
G:FW P:NNC moon 2682 19 		Context - man|RBI vs.|NNCA *moon|NNC* kung|RBK saan|RBQ 
G:FW P:NNC morphogenesis 130 17 		Context - sa|CCT larangang|NNC_CCP *morphogenesis|NNC* .|PMP 
G:FW P:NNC motion 2607 6 		Context - cast|NNC sa|CCT *motion|NNC* picture|FW industry|FW 
G:FW P:NNC motorists 2193 14 		Context - dahil_sa|RBP ang_mga|DTCP *motorists|NNC* na|CCP kulang|JJD 
G:FW P:NNC mutagenic 778 18 		Context - :|PMS ang|DTC *mutagenic|NNC* na|CCP kemikal|NNC 
G:FW P:NNC mutant 2678 3 		Context - mais|NNC na|CCP *mutant|NNC* (|PMS bx|NNCA 
G:FW P:NNC myeon 2916 9 		Context - ,|PMC 8|CDB *myeon|NNC* ,|PMC at|CCA 
G:FW P:NNC nard 2077 13 		Context - ang|DTC larong|NNC_CCP *nard|NNC* noong|RBW_CCP ika-11|JJN 
G:FW P:NNC navy 2893 19 		Context - pagpalaganap|NNC ng|CCB *navy|NNC* .|PMP 
G:FW P:NNC nozzle 2515 6 		Context - dinidisenyo|VBTR_VBOF ang_mga|DTCP *nozzle|NNC* na|CCP mas|JJCC 
G:FW P:NNC number 1710 24 		Context - ng|CCB real|FW *number|NNC* .|PMP 
G:FW P:NNC number 2437 5 		Context - ng|CCB positional|NNC *number|NNC* system|NNC ,|PMC 
G:FW P:NNC number 2734 24 		Context - ng|CCB fixed|NNC *number|NNC* ng|CCB bits|FW 
G:FW P:NNC organizer 2393 7 		Context - ay|LM naging|VBTS *organizer|NNC* at|CCA naging|VBTS 
G:FW P:NNC orkugs 1986 4 		Context - sa|CCT 10|CDB *orkugs|NNC* at|CCA 123|CDB 
G:FW P:NNC orkugs 2246 3 		Context - ng|CCB administratibong|JJD_CCP *orkugs|NNC* at|CCA distrito|NNC 
G:FW P:NNC out-polls 2289 6 		Context - sa|CCT tiket|NNC *out-polls|NNC* ang|DTC ikalawang-pwestong|JJN_CCP 
G:FW P:NNC outgassing 1327 7 		Context - aktibidad|NNC at|CCA *outgassing|NNC* ng|CCB kometang|NNC_CCP 
G:FW P:NNC pamphlet 2122 39 		Context - hiwalay|JJD na|CCP *pamphlet|NNC* noong|RBW_CCP 1872|CDB 
G:FW P:NNC pancreas 2057 6 		Context - fibrosis|FW ng|CCB *pancreas|NNC* ,|PMC ito|PRO 
G:FW P:NNC pancreas 2115 12 		Context - fibrosis|FW ng|CCB *pancreas|NNC* ,|PMC itinulad|VBOF 
G:FW P:NNC pansy 2222 8 		Context - ligaw|JJD na|CCP *pansy|NNC* at|CCA ang|DTC 
G:FW P:NNC panzers 2697 11 		Context - ng|CCB Alemanyong|NNP_CCP *panzers|NNC* na|CCP nakatakip|VBTS 
G:FW P:NNC paraffin 673 3 		Context - pamalit|NNC sa|CCT *paraffin|NNC* at|CCA beeswax|FW 
G:FW P:NNC parliamentary 2598 13 		Context - ng|CCB kanyang|PRSP_CCP *parliamentary|NNC* majority|NNC ,|PMC 
G:FW P:NNC parody 2815 59 		Context - satire|NNC at|CCA *parody|NNC* )|PMS .|PMP 
G:FW P:NNC passage 1932 14 		Context - sa|CCT nasal|JJD *passage|NNC* ay|LM maaaring|RBM 
G:FW P:NNC pasteurization 2552 23 		Context - pinapasok|VBTR ng|CCB *pasteurization|NNC* .|PMP 
G:FW P:NNC pathology 1438 9 		Context - Woodruff|NNP sa_loob_ng|CCU *pathology|NNC* laboratory|NNC kung|RBK 
G:FW P:NNC patrol 664 5 		Context - -|PMS 32|CDB *patrol|NNC* unit|NNC galing_sa|RBL 
G:FW P:NNC payout 1531 23 		Context - isang-beses|FW na|CCP *payout|NNC* mula_sa|RBL tatlong|JJN_CCP 
G:FW P:NNC pea 132 42 		Context - katangian|NNC ng|CCB *pea|NNC* plants|FW at|CCA 
G:FW P:NNC penal 582 12 		Context - isang|PRI_CCP British|NNP *penal|NNC* colony|NNC para_sa|RBB 
G:FW P:NNC penthouse 2138 30 		Context - sa|CCT “|NNC *penthouse|NNC* �?|NNC ni|DTP 
G:FW P:NNC performance 1220 4 		Context - na|CCP terminal|NNC *performance|NNC* ang|DTC Raufoss|NNP 
G:FW P:NNC phenotype 734 32 		Context - iilang|JJD_CCP mga|DTCP *phenotype|NNC* kasama|CCB ng|CCB 
G:FW P:NNC physician 2187 5 		Context - ang|DTC isang|PRI_CCP *physician|NNC* ,|PMC Brigadier|NNP 
G:FW P:NNC physicians 1898 2 		Context - Kahit|CCT na|CCP *physicians|NNC* tulad|JJC ni|DTP 
G:FW P:NNC plan 2568 32 		Context - “|NNC master|JJD *plan|NNC* �?|NNCA .|PMP 
G:FW P:NNC planes 395 8 		Context - Victor|NNP radar|NNC *planes|NNC* bilang|CCT karugtong|NNC 
G:FW P:NNC plate 2233 7 		Context - ang|DTC bushing|NNC *plate|NNC* .|PMP 
G:FW P:NNC plate 2366 2 		Context - Sa|CCT glacis|NNC *plate|NNC* at|CCA sa|CCT 
G:FW P:NNC polishing 2773 19 		Context - ,|PMC isang|PRI_CCP *polishing|NNC* na|CCP artista|NNC 
G:FW P:NNC polynomials 2594 6 		Context - sa|CCT mga|DTCP *polynomials|NNC* may|VBH mahalaga|JJD 
G:FW P:NNC polyps 1932 4 		Context - ng|CCB nasal|JJD *polyps|NNC* o|CCT iba|PRI 
G:FW P:NNC positional 2437 4 		Context - pag-unlad|NNC ng|CCB *positional|NNC* number|NNC system|NNC 
G:FW P:NNC postulation 2401 8 		Context - nagdulot|VBTS ng|CCB *postulation|NNC* ng|CCB isang|PRI_CCP 
G:FW P:NNC president 1702 14 		Context - kay|DTP Zimbabwean|NNP *president|NNC* Robert|NNP Mugabe|NNP 
G:FW P:NNC printing 1251 5 		Context - ang|DTC pinakaunang|JJCS_JJD_CCP *printing|NNC* house|NNC (|PMS 
G:FW P:NNC proponent 2379 2 		Context - Naging|VBTS isang|PRI_CCP *proponent|NNC* siya|PRS sa|CCT 
G:FW P:NNC proton 2403 28 		Context - ang|DTC terminong|NNC_CCP *proton|NNC* ay|LM hindi|RBF 
G:FW P:NNC proton 2403 9 		Context - nagbibigay|VBTR ng|CCB *proton|NNC* na|CCP H+|NNP 
G:FW P:NNC publisher 1492 11 		Context - makahanap|RBD ng|CCB *publisher|NNC* .|PMP 
G:FW P:NNC puffer 538 12 		Context - napakalason|JJCS_JJD na|CCP *puffer|NNC* fish|FW na|CCP 
G:FW P:NNC pyramid 1277 7 		Context - pundasyon|NNC ng|CCB *pyramid|NNC* ng|CCB populasyon|NNC 
G:FW P:NNC racing 604 15 		Context - unlimited|FW powerboat|FW *racing|NNC* sa|CCT Detroit|NNP 
G:FW P:NNC radar 1790 14 		Context - sumusunog|VBTR_VBAF sa|CCT *radar|NNC* led|FW 22|CDB 
G:FW P:NNC radar 395 7 		Context - Willy|NNP Victor|NNP *radar|NNC* planes|NNC bilang|CCT 
G:FW P:NNC rap 220 26 		Context - sosyalismo|NNC sa|CCT *rap|NNC* at|CCA hip|FW 
G:FW P:NNC rate 277 7 		Context - pinakamababang|JJCS_JJD_CCP fertility|NNC *rate|NNC* sa|CCT Greater|NNP 
G:FW P:NNC ratio 560 20 		Context - interval|NNC at|CCA *ratio|NNC* )|PMS .|PMP 
G:FW P:NNC rationals 1789 21 		Context - ginagamit|VBTR ang_mga|DTCP *rationals|NNC* na|CCP ito|PRO 
G:FW P:NNC rationals 1789 6 		Context - subset|NNC ng_mga|DTCP *rationals|NNC* ,|PMC eksakto|JJD 
G:FW P:NNC record 1970 20 		Context - isang|PRI_CCP world|NNC *record|NNC* para_sa|RBB pinakamalaking|JJCS_JJD_CCP 
G:FW P:NNC rekordings 963 5 		Context - sinaunang|JJD_CCP tinfoil|FW *rekordings|NNC* ang|DTC matagumpay|JJD 
G:FW P:NNC remake 2195 4 		Context - din|RBI ang|DTC *remake|NNC* sa|CCT orihinal|JJD 
G:FW P:NNC resolusyon 879 7 		Context - na|CCP optical|FW *resolusyon|NNC* ng|CCB Hubble|NNP 
G:FW P:NNC resonance 2937 6 		Context - isang|PRI_CCP 8:3|CDB *resonance|NNC* para_sa|RBB mga|DTCP 
G:FW P:NNC rhodium 2758 9 		Context - na|CCP may|VBH *rhodium|NNC* para_sa|RBB katibayan|NNC 
G:FW P:NNC roma 1038 35 		Context - Amboinensis|NNP ,|PMC *roma|NNC* )|PMS .|PMP 
G:FW P:NNC root 1710 19 		Context - anumang|PRI_CCP mga|DTCP *root|NNC* sa|CCT lahat|PRI 
G:FW P:NNC roundedness 2229 24 		Context - sa|CCT Vowel|NNP *roundedness|NNC* para_sa|RBB mga|DTCP 
G:FW P:NNC rounding 1826 3 		Context - mauunawaan|VBW ang|DTC *rounding|NNC* bilang|CCT isang|PRI_CCP 
G:FW P:NNC rounding 2936 17 		Context - ugnayan|NNC sa_pagitan_ng|CCU *rounding|NNC* at|CCA backness|NNC 
G:FW P:NNC rounding 2941 15 		Context - palatandaan|NNC ng|CCB *rounding|NNC* ,|PMC at|CCA 
G:FW P:NNC rules 2729 12 		Context - organisadong|JJD_CCP language|FW *rules|NNC* na|CCP tinatawag|VBTR 
G:FW P:NNC running-order 2301 11 		Context - bansa|NNC sa|CCT *running-order|NNC* ng|CCB pagboto|NNC 
G:FW P:NNC satire 2815 57 		Context - partikular|JJD ang|DTC *satire|NNC* at|CCA parody|NNC 
G:FW P:NNC schwa 2305 16 		Context - ay|LM naging|VBTS *schwa|NNC* kung|CCR (|PMS 
G:FW P:NNC score 1937 6 		Context - ng|CCB kanyang|PRSP_CCP *score|NNC* at|CCA hinahabol|VBTR 
G:FW P:NNC screenplay 2195 8 		Context - orihinal|JJD na|CCP *screenplay|NNC* ,|PMC ngunit|CCT 
G:FW P:NNC season 478 9 		Context - panahon|NNC ,|PMC *season|NNC* warsha|NNC (|PMS 
G:FW P:NNC seaway 1180 13 		Context - silangan|JJD galing|RBL *seaway|NNC* patungo_sa|RBL mga|DTCP 
G:FW P:NNC sector 880 4 		Context - fuels|FW energy|FW *sector|NNC* ay|LM ang|DTC 
G:FW P:NNC semi-final 2713 25 		Context - kasali|NNC sa|CCT *semi-final|NNC* .|PMP 
G:FW P:NNC semi-final 2834 5 		Context - kilala|JJD bilang|CCT *semi-final|NNC* ,|PMC ay|LM 
G:FW P:NNC semi-finals 2176 32 		Context - nasyonal|JJD pampublikong|JJD_CCP *semi-finals|NNC* .|PMP 
G:FW P:NNC sentience 2959 28 		Context - line|FW ng|CCB *sentience|NNC* at|CCA ng|CCB 
G:FW P:NNC sentiense 2959 16 		Context - bumubuo|VBTR ng|CCB *sentiense|NNC* ,|PMC may|VBH 
G:FW P:NNC servers 692 29 		Context - desktops|NNC at|CCA *servers|NNC* 
G:FW P:NNC settings 1096 18 		Context - masuri|VBW ang|DTC *settings|NNC* sa|CCT mga|DTCP 
G:FW P:NNC settlement 1624 2 		Context - Itinaguyod|VBOF ang_mga|DTCP *settlement|NNC* ,|PMC homestead|FW 
G:FW P:NNC sevdalinka 588 9 		Context - ang|DTC Bosnian|NNP *sevdalinka|NNC* ,|PMC mahirap|RBD 
G:FW P:NNC seven-year-old 2467 17 		Context - ang|DTC isang|PRI_CCP *seven-year-old|NNC* na|CCP Amerikano|NNP 
G:FW P:NNC seventy 1719 39 		Context - tao|NNC ay|LM *seventy|NNC* square|NNC meters|NNC 
G:FW P:NNC signal 620 5 		Context - Britanya|NNP sa_pamamagitan_ng|CCT *signal|NNC* intercepts|NNC na|CCP 
G:FW P:NNC silica 1645 7 		Context - fibers|FW ang|DTC *silica|NNC* ,|PMC SiO2|NNPA 
G:FW P:NNC silica 2281 13 		Context - states|FW ng|CCB *silica|NNC* o|CCT glass|FW 
G:FW P:NNC slash-at-burn 1959 12 		Context - sarili|NNC sa_pamamagitan_ng|CCT *slash-at-burn|NNC* na|CCP agrikultura|NNC 
G:FW P:NNC social 1693 17 		Context - sa|CCT “|NNC *social|NNC* economics|FW �?|FW 
G:FW P:NNC societal 1109 15 		Context - mas|JJCC malalang|JJD_CCP *societal|NNC* na|CCP pagsasapin-sapin|NNC 
G:FW P:NNC sociolinguistics 1920 6 		Context - larangan|NNC katulad_ng|JJC *sociolinguistics|NNC* ,|PMC dialectology|FW 
G:FW P:NNC soundtrack 1230 25 		Context - ang|DTC kanyang|PRSP_CCP *soundtrack|NNC* sa|CCT kanyang|PRSP_CCP 
G:FW P:NNC specimen 1571 18 		Context - pinakamalaking|JJCS_JJD_CCP naitalang|VBTS_CCP *specimen|NNC* ng|CCB Guiness|NNP 
G:FW P:NNC square 1719 24 		Context - ay|LM forty-five|FW *square|NNC* meters|NNC (|PMS 
