	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
G:JJD P:NNC puti 1583 15 		Context - nila|PRP ang_mga|DTCP *puti|NNC* para|CCT irepresenta|VBTF 
G:JJD P:NNC romantiko 588 32 		Context - at|CCA may|VBH *romantiko|NNC* at|CCA marunong|JJD 
G:JJD P:NNC sagana 279 1 		Context - Kung|CCR *sagana|NNC* ito|PRO sa|CCT 
G:JJD P:NNC sekswal 26 7 		Context - angat|JJD na|CCP *sekswal|NNC* na|CCP kwalidad|NNC 
G:JJD P:NNC sentral 168 1 		Context - Naging|VBTS *sentral|NNC* ng|CCB Kaliwanagan|NNP 
G:JJD P:NNC sentral 324 16 		Context - sentro|NNC ng|CCB *sentral|NNC* na|CCP administratibo|NNC 
G:JJD P:NNC sentro 625 2 		Context - Bihirang|RBD_CCP maging|VBW *sentro|NNC* ng_mga|DTCP kontrobersiya|NNC 
G:JJD P:NNC sentro 662 3 		Context - rin|RBI silang|PRP_CCP *sentro|NNC* ng|CCB organisasyon|NNC 
G:JJD P:NNC siyentipiko 1054 21 		Context - sa|CCT pagkakamaling|NNC_CCP *siyentipiko|NNC* .|PMP 
G:JJD P:NNC sunod 1005 113 		Context - hinlalaki|NNC at|CCA *sunod|NNC* sa|CCT hinlalaking|NNC_CCP 
G:JJD P:NNC taas 482 18 		Context - bilog|NNC sa|CCT *taas|NNC* ng|CCB buong|JJD_CCP 
G:JJD P:NNC taga-Sao_Paulo 578 10 		Context - tinatawag|VBTR ng_mga|DTCP *taga-Sao_Paulo|NNC* ng|CCB '|PMS 
G:JJD P:NNC taga-kanada 290 1 		Context - Ang|DTC *taga-kanada|NNC* na|CCP si|DTP 
G:JJD P:NNC tigang 38 11 		Context - sa|CCT noo'y|FW *tigang|NNC* na|CCP pook|NNC 
G:JJD P:NNC tulin 818 23 		Context - mga|DTCP sobrang|JJD_CCP *tulin|NNC* na|CCP sasakyang|NNC_CCP 
G:JJD P:NNC yupi 107 13 		Context - may|VBH mga|DTCP *yupi|NNC* sa_pamamagitan_ng|CCT mga|DTCP 
G:JJD P:NNP pa-Port 44 40 		Context - sanga|NNC sa_hilagang|RBL_CCP *pa-Port|NNP* Said|NNP .|PMP 
G:JJD P:NNP tiga-Albania 306 62 		Context - kultura|NNC ng_mga|DTCP *tiga-Albania|NNP* .|PMP '|PMS 
G:JJD P:NNPA Â halos 1597 7 		Context - lumitaw|VBAF ang|DTC *Â halos|NNPA* lahat|PRI ng|CCB 
G:JJD P:PRI Karamihan 629 0 		Context - *Karamihan|PRI* kakulangan|NNC sa|CCT 
G:JJD P:PRI isa't_isa 630 10 		Context - na|RBI sa|CCT *isa't_isa|PRI* sa|CCT Great|NNP 
G:JJD P:PRI marami-rami 1022 18 		Context - ,|PMC at|CCA *marami-rami|PRI* pang|RBI_CCP software|FW 
G:JJD P:RBD Mabilis 25 0 		Context - *Mabilis|RBD* na|CCP bola|NNC 
G:JJD P:RBD Matagal 112 0 		Context - *Matagal|RBD* nang|RBW naging|VBTS 
G:JJD P:RBD halos 835 1 		Context - Tinatayang|RBD_CCP *halos|RBD* 2500|CDB na|CCP 
G:JJD P:RBD importante 1116 2 		Context - Gayunpaman|CCB ,|PMC *importante|RBD* na|CCP itigil|VBOF 
G:JJD P:RBD kumpleto 60 7 		Context - gusaling|NNC_CCP hindi|RBF *kumpleto|RBD* ngunit|CCT ito|PRO 
G:JJD P:RBD mabuti 1560 7 		Context - nakakapagtalastasan|VBTS ng|CCB *mabuti|RBD* sa|CCT Ingles|NNP 
G:JJD P:RBD mabuti 980 6 		Context - hindi|RBF naging|VBTS *mabuti|RBD* ang|DTC ekonomiya|NNC 
G:JJD P:RBD madalas 1550 43 		Context - produksyon|NNC ay|LM *madalas|RBD* outsourced|FW .|PMP 
G:JJD P:RBD madalas 549 17 		Context - ,|PMC at|CCA *madalas|RBD* na|CCP parehong|JJC_CCP 
G:JJD P:RBD madilim 1616 20 		Context - ang|DTC nagreresultang|VBTR_CCP *madilim|RBD* na|CCP espasyo|NNC 
G:JJD P:RBD malamang 278 16 		Context - sa|CCT mga|DTCP *malamang|RBD* na|CCP pagkain|NNC 
G:JJD P:RBD maliwanag 183 9 		Context - ,|PMC nananatiling|VBTR_CCP *maliwanag|RBD* ang|DTC langit|NNC 
G:JJD P:RBD maliwanag 590 22 		Context - ay|LM isang|PRI_CCP *maliwanag|RBD* na|CCP berde|JJD 
G:JJD P:RBD marangya 1310 6 		Context - ,|PMC naging|VBTS *marangya|RBD* siya|PRS dito|PRL 
G:JJD P:RBD matagal 1167 17 		Context - organisasyon|NNC na|CCP *matagal|RBD* niyang|PRS_CCP kasama|CCB 
G:JJD P:RBD matagumpay 814 9 		Context - ,|PMC nanatiling|RBD_CCP *matagumpay|RBD* ang_mga|DTCP Swiss|NNP 
G:JJD P:RBD nakaayos 762 15 		Context - kaya|CCR hindi|RBF *nakaayos|RBD* ayon_sa|RBR alpabeto|NNC 
G:JJD P:RBD orihinal 998 18 		Context - na|CCP maaring|RBM *orihinal|RBD* na|CCP inokupahan|VBTR 
G:JJD P:RBD pa-kanan 404 16 		Context - ,|PMC gumagalaw|VBTR_VBAF *pa-kanan|RBD* pa-kaliwa|JJD tulad_ng|JJC 
G:JJD P:RBD pabilog 1138 12 		Context - maliit|JJD na|CCP *pabilog|RBD* na|CCP pyesa|NNC 
G:JJD P:RBD palayo 1016 26 		Context - ,|PMC at|CCA *palayo|RBD* sa|CCT emosyonalismo|NNC 
G:JJD P:RBD palayo 498 18 		Context - Zansibar|NNP na|CCP *palayo|RBD* sa_pampang|RBL .|PMP 
G:JJD P:RBD palayo 86 5 		Context - kagalawan|NNC nito|PRO *palayo|RBD* mula_sa|RBL polar|FW 
G:JJD P:RBD tahimik 1176 47 		Context - ng|CCB "|PMS *tahimik|RBD* na|CCP pagsalakay|NNC 
G:JJD P:RBD tiwala 1181 6 		Context - bihasang|JJD_CCP at|CCA *tiwala|RBD* ang_mga|DTCP arkitektong|NNC_CCP 
G:JJD P:RBD tuloy-tuloy 597 40 		Context - ang|DTC isang|PRI_CCP *tuloy-tuloy|RBD* na|RBI tustos|JJD 
G:JJD P:RBI malamang 459 9 		Context - ay|LM mas|JJCC *malamang|RBI* lilikha|NNC ng_mga|DTCP 
G:JJD P:RBL sa_taimtim 390 18 		Context - kulay-lila|NNC papunta|RBL *sa_taimtim|RBL* na|CCP lila|NNC 
G:JJD P:RBN halos 1209 18 		Context - o|CCT lumagpas|VBAF *halos|RBN* lahat|PRI na|CCP 
G:JJD P:RBN halos 835 10 		Context - A|NNPA at|CCA *halos|RBN* 500|CDB na|CCP 
G:JJD P:RBN halos 907 3 		Context - ang|DTC hemopilya|NNC *halos|RBN* 1|CDB sa|CCT 
G:JJD P:RBT Posible 538 0 		Context - *Posible|RBT* din|RBI na|CCP 
G:JJD P:RBT Tunay 1176 0 		Context - *Tunay|RBT* na|CCP talaan|NNC 
G:JJD P:RBT posible 1353 9 		Context - ng|CCB Bretanya|NNP *posible|RBT* magmay-ari|VBW ng|CCB 
G:JJD P:RBT sapat 488 12 		Context - ,|PMC hindi|RBF *sapat|RBT* para|CCT magdulot|VBW 
G:JJD P:RBT tama 1135 2 		Context - Habang|RBW pinananatiling|VBTS_CCP *tama|RBT* ang|DTC temperatura|NNC 
G:JJD P:RBT tiyak 676 10 		Context - ng|CCB isang|PRI_CCP *tiyak|RBT* na|CCP sample|NNC 
G:JJD P:RBT tiyak 990 21 		Context - ng|CCB hindi|RBF *tiyak|RBT* na|CCP pagkaka-iba|NNC 
G:JJD P:RBT tunay 1401 12 		Context - kalahok|NNC ang|DTC *tunay|RBT* na|CCP layunin|NNC 
G:JJD P:RBT tunay 920 2 		Context - Wala|VBN namang|RBI_CCP *tunay|RBT* na|CCP sagisag|NNC 
G:JJD P:RBW Mahina 564 0 		Context - *Mahina|RBW* lang|RBI ang|DTC 
G:JJD P:RBW kasabay 1487 19 		Context - ito|PRO ,|PMC *kasabay|RBW* ng|CCB Austria|NNP 
G:JJD P:VBAF humigit-kumulang 321 12 		Context - ikinopya|VBTS na|CCP *humigit-kumulang|VBAF* sa|CCT triplication|FW 
G:JJD P:VBAF humpay 949 4 		Context - ang|DTC walang|RBF *humpay|VBAF* na|CCP korapsyon|NNC 
G:JJD P:VBAF sumunod 527 10 		Context - Dion|NNP ang_mga|DTCP *sumunod|VBAF* na|CCP inilabas|VBTS 
G:JJD P:VBOF iba't_iba 658 3 		Context - din|RBI na|CCP *iba't_iba|VBOF* ang_mga|DTCP layunin|NNC 
G:JJD P:VBTF susunod 974 24 		Context - distansya|NNC sa|CCT *susunod|VBTF* na|CCP tala|NNC 
G:JJD P:VBTR nagtatanggol 1157 1 		Context - Ang|DTC *nagtatanggol|VBTR* na|CCP kopoonan|NNC 
G:JJD P:VBTR nakakakita 934 9 		Context - di|RBF pa|RBI *nakakakita|VBTR* nito|PRO .|PMP 
G:JJD P:VBTR nakamamatay 391 44 		Context - sa|CCT maraming|PRI_CCP *nakamamatay|VBTR* na|CCP kanser|NNC 
G:JJD P:VBTR nararapat 270 22 		Context - kasama|CCB ang_mga|DTCP *nararapat|VBTR* na|CCP numerikal|JJD 
G:JJD P:VBTS kinilala 752 14 		Context - ,|PMC na|CCP *kinilala|VBTS* bilang|CCT Kasunduan|NNP 
G:JJD P:VBTS nakaliligaw 1227 21 		Context - materyalismo|NNC at|CCA *nakaliligaw|VBTS* na|CCP kaalaman|NNC 
G:JJD P:VBTS nakatalaga 825 2 		Context - Ayon_sa|RBR kaugaliang|NNC_CCP *nakatalaga|VBTS* lamang|RBI sa|CCT 
G:JJD P:VBTS nakihalobilo 1158 4 		Context - kultura|NNC ay|LM *nakihalobilo|VBTS* sa|CCT isang|PRI_CCP 
G:JJD P:VBTS nakilala 1412 1 		Context - Mas|JJCC *nakilala|VBTS* si|DTP Court|NNP 
G:JJD P:VBTS sinauna 306 21 		Context - sariwa|JJD at|CCA *sinauna|VBTS* '|PMS ,|PMC 
G:JJD P:VBTS_VBOF binata 388 1 		Context - Noong|RBW_CCP *binata|VBTS_VBOF* pa|RBI si|DTP 
G:JJD P:VBW Mabato 46 0 		Context - *Mabato|VBW* ,|PMC manipis|JJD 
G:JJD P:VBW alam 725 2 		Context - Habang|RBW hindi|RBF *alam|VBW* ang|DTC bilang|NNC 
G:JJD P:VBW mabulag 492 17 		Context - rin|RBI tayong|PRP_CCP *mabulag|VBW* .|PMP 
G:JJD P:VBW mabundok 107 4 		Context - tanawin|NNC ay|LM *mabundok|VBW* sa_loob|RBL ,|PMC 
G:JJD P:VBW madaya 862 34 		Context - na|CCP naging|VBTS *madaya|VBW* ang|DTC eleksyon|NNC 
G:JJD P:VBW magkatulad 1358 52 		Context - ,|PMC na|CCP *magkatulad|VBW* ballistically|FW sa|CCT 
G:JJD P:VBW magulo 945 21 		Context - malaki|JJD at|CCA *magulo|VBW* .|PMP 
G:JJD P:VBW malipat 475 29 		Context - pagkatapos|VBW ito|PRO *malipat|VBW* ang|DTC isang|PRI_CCP 
G:JJD P:VBW maliwanag 391 34 		Context - pa|RBI ito|PRO *maliwanag|VBW* sa|CCT ngayon|RBW 
G:JJD_CCA P:JJD kahanga-hanga't 88 15 		Context - ng|CCB isang|PRI_CCP *kahanga-hanga't|JJD* "|PMS kagalang-galang|JJD 
G:JJD_CCB P:JJD_CCP iba't_ibang 1518 10 		Context - makaaapekto|VBW sa|CCT *iba't_ibang|JJD_CCP* lebel|NNC ng|CCB 
G:JJD_CCP P:CCB kabilang 918 7 		Context - Dam|NNP sa|CCT *kabilang|CCB* panig|NNC ng|CCB 
G:JJD_CCP P:JJCS_CCP sobrang 508 7 		Context - gumagamit|VBTR_VBAF ng|CCB *sobrang|JJCS_CCP* gumagamit|VBTR_VBAF ng|CCB 
G:JJD_CCP P:JJC_CCP parehong 791 2 		Context - Inaalagaan|VBTR ng|CCB *parehong|JJC_CCP* magulang|NNC ang_mga|DTCP 
G:JJD_CCP P:JJD Malaking 619 4 		Context - nangangahulugang|VBTR_CCP '|PMS *Malaking|JJD* Burol|NNP '|PMS 
G:JJD_CCP P:JJD hilagang_silangan 545 29 		Context - lumalawak|VBTR_VBAF patungong|RBL_CCP *hilagang_silangan|JJD* .|PMP 
G:JJD_CCP P:JJD pangunahing 1244 5 		Context - na|CCP naging|VBTS *pangunahing|JJD* kadahilan|PRO ang|DTC 
G:JJD_CCP P:JJD paunang 8 12 		Context - tagapamasid|NNC bilang|CCT *paunang|JJD* hakbang|NNC ni|DTP 
G:JJD_CCP P:JJN_CCP dose-dosenang 1370 15 		Context - kasosyo|NNC sa|CCT *dose-dosenang|JJN_CCP* mga|DTCP estado|JJD 
G:JJD_CCP P:JJN_CCP pangkawang-gawang 244 6 		Context - ang|DTC maraming|PRI_CCP *pangkawang-gawang|JJN_CCP* mga|DTCP organisasyon|NNC 
G:JJD_CCP P:JJN_CCP punong 785 3 		Context - dito|PRL ang|DTC *punong|JJN_CCP* himpilan|NNC ng|CCB 
G:JJD_CCP P:NNC higit-kumulang 607 1 		Context - May|VBH *higit-kumulang|NNC* ng|CCB 62|CDB 
G:JJD_CCP P:NNC pag-iibang 390 1 		Context - May|VBH *pag-iibang|NNC* kulay|NNC sa|CCT 
G:JJD_CCP P:NNC tatluhang-buwan 1531 4 		Context - kumpaniya|NNC sa|CCT *tatluhang-buwan|NNC* mula_sa|RBL taunan|JJD 
G:JJD_CCP P:NNC_CCP akademikong 1380 2 		Context - Iba|PRI ang|DTC *akademikong|NNC_CCP* paggamit|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP alilang 258 21 		Context - pinangungunahan|VBTR ng_mga|DTCP *alilang|NNC_CCP* mamamayan|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP asidikong 689 31 		Context - paggawa|NNC ng|CCB *asidikong|NNC_CCP* hangin|NNC sa_kalikasan|RBL 
G:JJD_CCP P:NNC_CCP babaeng 86 32 		Context - ferm|FW (|PMS *babaeng|NNC_CCP* hermaphrodite|FW )|PMS 
G:JJD_CCP P:NNC_CCP bahagiang 1367 1 		Context - Para_sa|RBB *bahagiang|NNC_CCP* listahan|NNC ng_mga|DTCP 
G:JJD_CCP P:NNC_CCP bandang 1525 7 		Context - ito|PRO noong|RBW_CCP *bandang|NNC_CCP* 1350|CDB at|CCA 
G:JJD_CCP P:NNC_CCP binokulong 295 6 		Context - ipaliwanag|VBOF ang|DTC *binokulong|NNC_CCP* paningin|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP biyolenteng 467 11 		Context - bilang|NNC ng|CCB *biyolenteng|NNC_CCP* krimen|NNC sa|CCT 
G:JJD_CCP P:NNC_CCP bulung-bulungang 783 10 		Context - Christopher|NNP ang_mga|DTCP *bulung-bulungang|NNC_CCP* ito|PRO .|PMP 
G:JJD_CCP P:NNC_CCP butong 888 5 		Context - pamilyar|JJD na|CCP *butong|NNC_CCP* halaman|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP dayuhang 380 20 		Context - mula_sa|RBL mga|DTCP *dayuhang|NNC_CCP* kultura|NNC ay|LM 
G:JJD_CCP P:NNC_CCP distansyang 163 32 		Context - unibersidad|NNC para_sa|RBB *distansyang|NNC_CCP* edukasyon|NNC (|PMS 
G:JJD_CCP P:NNC_CCP ehekutibong 946 8 		Context - board_of_trustees|FW para_sa|RBB *ehekutibong|NNC_CCP* sangay|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP esponghang 800 20 		Context - sa_ibabaw|RBL ng|CCB *esponghang|NNC_CCP* tisyu|NNC na|CCP 
G:JJD_CCP P:NNC_CCP estadong 214 21 		Context - pag-aari|NNC ng|CCB *estadong|NNC_CCP* bangkong|NNC_CCP Tsino|NNP 
G:JJD_CCP P:NNC_CCP estereoskopikong 1586 19 		Context - pares|NNC ng|CCB *estereoskopikong|NNC_CCP* lens|NNC para_sa|RBB 
G:JJD_CCP P:NNC_CCP estereoskopikong 1620 7 		Context - Jones|NNP ng_mga|DTCP *estereoskopikong|NNC_CCP* potograpiya|NNC at|CCA 
G:JJD_CCP P:NNC_CCP generikong 271 2 		Context - Nakuha|VBTS ang|DTC *generikong|NNC_CCP* pangalan|NNC nito|PRO 
G:JJD_CCP P:NNC_CCP genetikong 1165 23 		Context - kasama|CCB ng|CCB *genetikong|NNC_CCP* pagsusuri|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP geograpikong 1288 14 		Context - at|CCA mga|DTCP *geograpikong|NNC_CCP* mga|DTCP katangian|NNC 
G:JJD_CCP P:NNC_CCP guwapong 88 22 		Context - hitsura|NNC ng|CCB *guwapong|NNC_CCP* pagkalalaki|NNC .|PMP 
G:JJD_CCP P:NNC_CCP henetikong 769 28 		Context - bilang|CCT kanilang|PRSP_CCP *henetikong|NNC_CCP* materyal|NNC .|PMP 
G:JJD_CCP P:NNC_CCP hilangang 665 13 		Context - sa|CCT mga|DTCP *hilangang|NNC_CCP* paltok|NNC .|PMP 
G:JJD_CCP P:NNC_CCP kakompetensiyang 679 3 		Context - nagbenta|VBTS ang|DTC *kakompetensiyang|NNC_CCP* disk-shaped|FW gramophone|FW 
G:JJD_CCP P:NNC_CCP kalapit-bayang 315 2 		Context - Nakadugtong|VBTS sa|CCT *kalapit-bayang|NNC_CCP* Collegno|NNP ang|DTC 
G:JJD_CCP P:NNC_CCP kapanahunang 1362 1 		Context - Isang|PRI_CCP *kapanahunang|NNC_CCP* istorya|NNC na|CCP 
G:JJD_CCP P:NNC_CCP kapansin-pansing 174 5 		Context - order|NNC mga|DTCP *kapansin-pansing|NNC_CCP* mga|DTCP magkakaibang|JJD_CCP 
G:JJD_CCP P:NNC_CCP klasikong 812 6 		Context - halimbawa|NNC ng|CCB *klasikong|NNC_CCP* estilo|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP lalaking 136 25 		Context - sa|CCT mga|DTCP *lalaking|NNC_CCP* kamag-anak|NNC niya|PRS 
G:JJD_CCP P:NNC_CCP lalaking 86 26 		Context - mern|FW (|PMS *lalaking|NNC_CCP* pseudohermaphrodite|FW )|PMS 
G:JJD_CCP P:NNC_CCP modermong 665 5 		Context - ito|PRO sa|CCT *modermong|NNC_CCP* Albanya|NNP ,|PMC 
G:JJD_CCP P:NNC_CCP oksihinasyong 548 24 		Context - nagbubunga|VBTR ng|CCB *oksihinasyong|NNC_CCP* pagod|NNC .|PMP 
G:JJD_CCP P:NNC_CCP pagkawang-gawang 1519 27 		Context - Mississipi|NNP sa|CCT *pagkawang-gawang|NNC_CCP* pinansyal|JJD .|PMP 
G:JJD_CCP P:NNC_CCP palitang 520 3 		Context - rin|RBI ang|DTC *palitang|NNC_CCP* operasyon|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP pamahayang 163 17 		Context - dalawang|JJN_CCP pinakamalaking|JJCS_JJD_CCP *pamahayang|NNC_CCP* unibersidad|NNC sa_bansa|RBL 
G:JJD_CCP P:NNC_CCP panauhing 994 5 		Context - tagapangasiwa|NNC ang_mga|DTCP *panauhing|NNC_CCP* may|VBH kakayahang|NNC_CCP 
G:JJD_CCP P:NNC_CCP pirasong 1374 11 		Context - sa|CCT isang|PRI_CCP *pirasong|NNC_CCP* papel|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP pisang 195 14 		Context - mga|DTCP bagong|JJD_CCP *pisang|NNC_CCP* pagong|NNC .|PMP 
G:JJD_CCP P:NNC_CCP repormang 134 10 		Context - nanatili|VBTS ang|DTC *repormang|NNC_CCP* bersyon|NNC ng|CCB 
G:JJD_CCP P:NNC_CCP republikanong 1152 9 		Context - ehemplo|NNC ng|CCB *republikanong|NNC_CCP* ugali|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP sosyalismong 93 32 		Context - teorya|NNC ukol_sa|RBR *sosyalismong|NNC_CCP* Melanesian|NNP ,|PMC 
G:JJD_CCP P:NNC_CCP syientipikong 1117 64 		Context - magkaroon|VBW ng|CCB *syientipikong|NNC_CCP* pagpapaliwanag|NNC rito|PRL 
G:JJD_CCP P:NNC_CCP urbanong 1063 11 		Context - dedikado|JJD sa|CCT *urbanong|NNC_CCP* disenyo|NNC ,|PMC 
G:JJD_CCP P:NNC_CCP urbanong 1154 8 		Context - ang|DTC unang|JJN_CCP *urbanong|NNC_CCP* liwasan|NNC ng|CCB 
G:JJD_CCP P:NNP_CCP Kanluraning 487 11 		Context - Kaliwanagan|NNP sa|CCT *Kanluraning|NNP_CCP* pilosopiya|NNC .|PMP 
G:JJD_CCP P:NNP_CCP Katutubong 1464 0 		Context - *Katutubong|NNP_CCP* kaharian|NNC ang|DTC 
G:JJD_CCP P:NNP_CCP Lumang 98 0 		Context - *Lumang|NNP_CCP* pangalan|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP Kaunting 1243 0 		Context - *Kaunting|PRI_CCP* tao|NNC lang|RBI 
G:JJD_CCP P:PRI_CCP Madaming 1330 0 		Context - *Madaming|PRI_CCP* ginawa|VBOF ang|DTC 
G:JJD_CCP P:PRI_CCP Maraming 1068 0 		Context - *Maraming|PRI_CCP* species|FW ng|CCB 
G:JJD_CCP P:PRI_CCP Maraming 254 0 		Context - *Maraming|PRI_CCP* mga|DTCP modelo|NNC 
G:JJD_CCP P:PRI_CCP Maraming 661 0 		Context - *Maraming|PRI_CCP* fossil|FW leaves|FW 
G:JJD_CCP P:PRI_CCP Maraming 934 0 		Context - *Maraming|PRI_CCP* pang|RBI_CCP beteranong|JJD_CCP 
G:JJD_CCP P:PRI_CCP Maraming 981 0 		Context - *Maraming|PRI_CCP* malalaki|JJD at|CCA 
G:JJD_CCP P:PRI_CCP buong 289 2 		Context - Kung|CCR ang|DTC *buong|PRI_CCP* proseso|NNC hanggang|RBW 
G:JJD_CCP P:PRI_CCP buong 643 4 		Context - paumanhin|NNC at|CCA *buong|PRI_CCP* pagbawi|NNC sa|CCT 
G:JJD_CCP P:PRI_CCP buong 659 7 		Context - bahagyang|RBD_CCP o|CCT *buong|PRI_CCP* eclipse|FW ay|LM 
G:JJD_CCP P:PRI_CCP buong 844 11 		Context - demilitarized|FW ang|DTC *buong|PRI_CCP* isla|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP iba't_ibang 1079 11 		Context - osteoderms|FW ng|CCB *iba't_ibang|PRI_CCP* laki|NNC ,|PMC 
G:JJD_CCP P:PRI_CCP ibang 468 1 		Context - Tulad_ng|JJC *ibang|PRI_CCP* Ankylosaurus|NNP ,|PMC 
G:JJD_CCP P:PRI_CCP ibang 549 27 		Context - nabibigyan|VBTR ng|CCB *ibang|PRI_CCP* pangalan|NNC dahil|CCR 
G:JJD_CCP P:PRI_CCP ibang 832 9 		Context - at|CCA ang|DTC *ibang|PRI_CCP* mga|DTCP dinosaur|NNC 
G:JJD_CCP P:PRI_CCP ibang 861 13 		Context - hindi|RBF katulad_ng|JJC *ibang|PRI_CCP* mga|DTCP modernong|JJD_CCP 
G:JJD_CCP P:PRI_CCP kaunting 1490 5 		Context - ng|CCB medyo|JJCC *kaunting|PRI_CCP* bilang|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP kaunting 272 4 		Context - nagkaroon|VBTS ng|CCB *kaunting|PRI_CCP* tagumpay|JJD ang|DTC 
G:JJD_CCP P:PRI_CCP kaunting 321 24 		Context - sila|PRP ng|CCB *kaunting|PRI_CCP* craniofacial|FW na|CCP 
G:JJD_CCP P:PRI_CCP kaunting 969 20 		Context - ,|PMC ang|DTC *kaunting|PRI_CCP* mga|DTCP non-Sunni_Muslims|NNP 
G:JJD_CCP P:PRI_CCP maraming 43 13 		Context - hanay|NNC ,|PMC *maraming|PRI_CCP* tao|NNC ang|DTC 
G:JJD_CCP P:PRI_CCP maraming 55 2 		Context - Naglalaman|VBTR ng|CCB *maraming|PRI_CCP* sipi|NNC at|CCA 
G:JJD_CCP P:PRI_CCP maraming 661 13 		Context - nito|PRO na|CCP *maraming|PRI_CCP* naka-paligid|JJD na|CCP 
G:JJD_CCP P:PRI_CCP maraming 684 18 		Context - ito|PRO ng|CCB *maraming|PRI_CCP* mga|DTCP kasunduan|NNC 
G:JJD_CCP P:PRI_CCP maraming 837 22 		Context - makikita|VBTF ang|DTC *maraming|PRI_CCP* bilang|NNC ng|CCB 
G:JJD_CCP P:PRI_CCP maraming 845 1 		Context - Sa|CCT *maraming|PRI_CCP* pagkakataon|NNC ,|PMC 
G:JJD_CCP P:PRI_CCP maraming 999 8 		Context - taon|NNC ,|PMC *maraming|PRI_CCP* nagmungkahi|VBTS kung|RBK 
G:JJD_CCP P:PRI_CCP panlahatang 270 58 		Context - ,|PMC tulad_ng|JJC *panlahatang|PRI_CCP* linear|FW na|CCP 
G:JJD_CCP P:RBD_CCP Karaniwang 1052 0 		Context - *Karaniwang|RBD_CCP* kredito|NNC sa|CCT 
G:JJD_CCP P:RBD_CCP Karaniwang 648 0 		Context - *Karaniwang|RBD_CCP* mayroon|VBH itong|PRO_CCP 
G:JJD_CCP P:RBD_CCP Karaniwang 890 0 		Context - *Karaniwang|RBD_CCP* kaayusan|NNC sa|CCT 
G:JJD_CCP P:RBD_CCP Malawakang 988 0 		Context - *Malawakang|RBD_CCP* pagkakaiba|NNC sa|CCT 
G:JJD_CCP P:RBD_CCP bahagyang 659 5 		Context - araw|NNC habang|RBW *bahagyang|RBD_CCP* o|CCT buong|PRI_CCP 
G:JJD_CCP P:RBD_CCP bihirang 1144 22 		Context - din|RBI ay|LM *bihirang|RBD_CCP* ,|PMC kung|CCR 
G:JJD_CCP P:RBD_CCP lantarang 36 12 		Context - niya|PRS ang|DTC *lantarang|RBD_CCP* gay|NNC na|CCP 
G:JJD_CCP P:RBD_CCP libreng 211 13 		Context - ng|CCB puro|JJD *libreng|RBD_CCP* software|FW ang|DTC 
G:JJD_CCP P:RBD_CCP maayang 736 30 		Context - equator|FW at|CCA *maayang|RBD_CCP* karagatan|NNC ng|CCB 
G:JJD_CCP P:RBD_CCP mabisang 270 17 		Context - nagsanhi|VBTS ang_mga|DTCP *mabisang|RBD_CCP* kompyuter|NNC ,|PMC 
G:JJD_CCP P:RBD_CCP madaling 1454 23 		Context - maging|VBW masyadong|JJCS_CCP *madaling|RBD_CCP* umayon|VBAF sa|CCT 
G:JJD_CCP P:RBD_CCP magkabilaang 1500 6 		Context - sa_likod|RBL ng|CCB *magkabilaang|RBD_CCP* mata|NNC .|PMP 
G:JJD_CCP P:RBD_CCP mahalagang 891 16 		Context - 655|CDB ,|PMC *mahalagang|RBD_CCP* koneksyon|NNC pa|RBI 
G:JJD_CCP P:RBD_CCP muling 1539 17 		Context - Microsoft|NNP na|CCP *muling|RBD_CCP* suportahan|VBOF ang|DTC 
G:JJD_CCP P:RBD_CCP pabayang 506 18 		Context - na|CCP mayroong|VBH_CCP *pabayang|RBD_CCP* patakaran|NNC ang|DTC 
G:JJD_CCP P:RBN_CCP minimong 333 35 		Context - dapat|VBS may|VBH *minimong|RBN_CCP* layo|NNC na|CCP 
G:JJD_CCP P:RBW_CCP huling 959 1 		Context - Nang|RBW *huling|RBW_CCP* bahagi|NNC ng|CCB 
G:JJD_CCP P:RBW_CCP kasalukuyang 1603 1 		Context - Ang|DTC *kasalukuyang|RBW_CCP* bansa|NNC ay|LM 
G:JJD_CCP P:RBW_CCP kasalukuyang 674 1 		Context - Ayon_sa|RBR *kasalukuyang|RBW_CCP* patakaran|NNC ,|PMC 
G:JJD_CCP P:RBW_CCP muling 1630 37 		Context - fetal|JJD ang|DTC *muling|RBW_CCP* pagiging|VBTR aktibo|JJD 
G:JJD_CCP P:RBW_CCP nakaraang 967 22 		Context - katangian|NNC noong|RBW_CCP *nakaraang|RBW_CCP* panahon|NNC .|PMP 
